waste_var_calib,sum_group,sum_restriction_by_group,var_in_01_interval,parameter_constant_q,Fixed Parameter,Calibration,Calibration_in_integrated_only,Parameter That Needs Better Starting Value Before Calibration,Historical Data ,Historical Data for Initial Time Period Future Projections,Output from other Models,Fixed in Calibration (future lever),Notes
ef_trww_treated_aerobic_g_n2o_per_g_n,,,,,,1,,,,,,,
ef_trww_treated_anaerobic_g_n2o_per_g_n,,,,,,1,,,,,,,
ef_trww_treated_latrine_improved_g_n2o_per_g_n,,,,,,1,,,,,,,
ef_trww_treated_latrine_unimproved_g_n2o_per_g_n,,,,,,1,,,,,,,
ef_trww_treated_septic_g_n2o_per_g_n,,,,,,1,,,,,,,
ef_trww_untreated_no_sewerage_g_n2o_per_g_n,,,,,,1,,,,,,,
ef_trww_untreated_with_sewerage_g_n2o_per_g_n,,,,,,1,,,,,,,
mcf_trww_treated_aerobic,,,1,,,1,,,,,,,
mcf_trww_treated_anaerobic,,,1,,,1,,,,,,,
mcf_trww_treated_latrine_improved,,,1,,,1,,,,,,,
mcf_trww_treated_latrine_unimproved,,,1,,,1,,,,,,,
mcf_trww_treated_septic,,,1,,,1,,,,,,,
mcf_trww_untreated_no_sewerage,,,1,,,1,,,,,,,
mcf_trww_untreated_with_sewerage,,,1,,,1,,,,,,,
frac_trww_nitrogen_removed_treated_aerobic,,,1,,,1,,,,,,,
frac_trww_nitrogen_removed_treated_anaerobic,,,1,,,1,,,,,,,
frac_trww_nitrogen_removed_treated_latrine_improved,,,1,,,1,,,,,,,
frac_trww_nitrogen_removed_treated_latrine_unimproved,,,1,,,1,,,,,,,
frac_trww_nitrogen_removed_treated_septic,,,1,,,1,,,,,,,
frac_trww_nitrogen_removed_untreated_no_sewerage,,,1,,,1,,,,,,,
frac_trww_nitrogen_removed_untreated_with_sewerage,,,1,,,1,,,,,,,
frac_trww_tow_removed_treated_aerobic,,,1,,,1,,,,,,,
frac_trww_tow_removed_treated_anaerobic,,,1,,,1,,,,,,,
frac_trww_tow_removed_treated_latrine_improved,,,1,,,1,,,,,,,
frac_trww_tow_removed_treated_latrine_unimproved,,,1,,,1,,,,,,,
frac_trww_tow_removed_treated_septic,,,1,,,1,,,,,,,
frac_trww_tow_removed_untreated_no_sewerage,,,1,,,1,,,,,,,
frac_trww_tow_removed_untreated_with_sewerage,,,1,,,1,,,,,,,
physparam_krem_sludge_factor_treated_aerobic,,,1,,,1,,,,,,,
frac_sludge_compliant_treated_septic,,,1,,,1,,,,,,,
frac_wali_ww_domestic_rural_treatment_path_untreated_with_sewerage,1,=1,,,,,,,,1,,,
frac_wali_ww_domestic_urban_treatment_path_untreated_with_sewerage,2,=1,,,,,,,,1,,,
frac_wali_ww_industrial_treatment_path_untreated_with_sewerage,3,=1,,,,,,,,1,,,
frac_wali_ww_domestic_rural_treatment_path_latrine_improved,1,=1,,,,,,,,1,,,
frac_wali_ww_domestic_urban_treatment_path_latrine_improved,2,=1,,,,,,,,1,,,
frac_wali_ww_industrial_treatment_path_latrine_improved,3,=1,,,,,,,,1,,,
frac_wali_ww_domestic_rural_treatment_path_septic,1,=1,,,,,,,,1,,,
frac_wali_ww_domestic_urban_treatment_path_septic,2,=1,,,,,,,,1,,,
frac_wali_ww_industrial_treatment_path_septic,3,=1,,,,,,,,1,,,
frac_wali_ww_domestic_rural_treatment_path_untreated_no_sewerage,1,=1,,,,,,,,1,,,
frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage,2,=1,,,,,,,,1,,,
frac_wali_ww_industrial_treatment_path_untreated_no_sewerage,3,=1,,,,,,,,1,,,
frac_wali_ww_domestic_rural_treatment_path_aerobic,1,=1,,,,,,,,1,,,
frac_wali_ww_domestic_urban_treatment_path_aerobic,2,=1,,,,,,,,1,,,
frac_wali_ww_industrial_treatment_path_aerobic,3,=1,,,,,,,,1,,,
frac_wali_ww_domestic_rural_treatment_path_anaerobic,1,=1,,,,,,,,1,,,
frac_wali_ww_domestic_urban_treatment_path_anaerobic,2,=1,,,,,,,,1,,,
frac_wali_ww_industrial_treatment_path_anaerobic,3,=1,,,,,,,,1,,,
frac_wali_ww_domestic_rural_treatment_path_latrine_unimproved,1,=1,,,,,,,,1,,,
frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,2,=1,,,,,,,,1,,,
frac_wali_ww_industrial_treatment_path_latrine_unimproved,3,=1,,,,,,,,1,,,
physparam_wali_bo_tonne_ch4_tonne_bod,,,,1,1,,,,,,,,
frac_wali_protein_in_diet_with_red_meat,,,1,,,1,,,,,,,
density_wali_kg_n_per_m3_ww_industrial,,,,,,1,,,,,,,
physparam_wali_daily_kg_bod_per_capita,,,,,,1,,,,,,,
logelasticity_wali_qty_prod_to_gdp_per_capita,,,,,,1,,,,,,,
param_wali_f_noncon,,,1,,1,,,,,,,,
qty_wali_m3_ww_domestic_rural_per_capita,,,,,,1,,,,,,,
qty_wali_m3_ww_domestic_urban_per_capita,,,,,,1,,,,,,,
qty_wali_m3_ww_industrial_per_gdp,,,,,,1,,,,,,,
frac_wali_protein_in_diet_without_red_meat,,,1,,,1,,,,,,,
physparam_wali_bo_tonne_ch4_tonne_cod,,,,1,1,,,,,,,,
elasticity_protein_in_diet_to_gdppc,,,,,,,,1,,,,,
qty_protein_per_capita_kg,,,,,,1,,,,,,,
param_wali_n_hh_scalar,,,,,,1,,,,,,,
physparam_wali_tonne_cod_per_mmm_gdp,,,,,,1,,,,,,,
physparam_wali_tow_dom_generation_correction_factor,,,1,,,1,,,,,,,
frac_waso_initial_composition_mun_chemical_industrial,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_food,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_glass,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_metal,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_nappies,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_other,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_paper,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_plastic,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_rubber_leather,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_sludge,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_textiles,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_wood,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
frac_waso_initial_composition_mun_yard,4,=1,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on elasticities and gdp/capita
physparam_waso_k_chemical_industrial,,,,,,1,,,,,,,
physparam_waso_k_food,,,,,,1,,,,,,,
physparam_waso_k_glass,,,,,,1,,,,,,,
physparam_waso_k_metal,,,,,,1,,,,,,,
physparam_waso_k_nappies,,,,,,1,,,,,,,
physparam_waso_k_other,,,,,,1,,,,,,,
physparam_waso_k_paper,,,,,,1,,,,,,,
physparam_waso_k_plastic,,,,,,1,,,,,,,
physparam_waso_k_rubber_leather,,,,,,1,,,,,,,
physparam_waso_k_sludge,,,,,,1,,,,,,,
physparam_waso_k_textiles,,,,,,1,,,,,,,
physparam_waso_k_wood,,,,,,1,,,,,,,
physparam_waso_k_yard,,,,,,1,,,,,,,
frac_waso_initial_composition_ind_chemical_industrial,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_food,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_glass,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_metal,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_nappies,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_other,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_paper,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_plastic,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_rubber_leather,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_sludge,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_textiles,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_wood,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
frac_waso_initial_composition_ind_yard,,,,,,,,,1,,,,Only the value in the first period matters. Future values are projected based on gdp
elasticity_waso_msw_to_gdppc_chemical_industrial,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_food,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_glass,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_metal,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_nappies,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_other,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_paper,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_plastic,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_rubber_leather,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_sludge,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_textiles,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_wood,,,,,,1,,,,,,,
elasticity_waso_msw_to_gdppc_yard,,,,,,1,,,,,,,
